#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
| 368669:8891 | 06/09/23 13:10:40 | 369  | 369  | 162414672.787875652 | 154399659.349874377 |
| 368670:8891 | 06/09/23 15:36:19 | 255  | 255  | 118288450.143242896 | 112516632.248901427 |
| 368672:8891 | 06/09/23 17:40:15 | 866  | 866  | 299454810.193843424 | 287164876.545489371 |
| 368674:8891 | 06/10/23 00:29:40 | 11   | 11   | 2717570.377665318   | 2339209.463003929   |
| 368675:8891 | 06/10/23 00:36:10 | 50   | 50   | 12082467.348770406  | 10842275.984993048  |
| 368676:8891 | 06/10/23 00:58:18 | 155  | 155  | 35625235.803121448  | 34363436.582629845  |
| 368678:8891 | 06/10/23 02:02:09 | 171  | 171  | 36422320.700941056  | 35281495.153056815  |
| 368684:8894 | 06/10/23 07:13:07 | 95   | 95   | 26296309.226165865  | 23853512.031021636  |
| 368685:8894 | 06/10/23 07:53:33 | 1481 | 1481 | 580596667.360590935 | 556412261.612209678 |
| 368723:8895 | 06/11/23 00:11:38 | 92   | 92   | 33534247.079860922  | 32367194.234122619  |
| 368724:8895 | 06/11/23 01:02:33 | 1199 | 1199 | 517909568.651079834 | 492770029.442639232 |
| 368746:8896 | 06/11/23 11:26:58 | 39   | 39   | 8839976.820074318   | 8149509.554374059   |
| 368749:8896 | 06/11/23 11:52:38 | 168  | 168  | 75984761.737561494  | 71292651.132231578  |
| 368753:8896 | 06/11/23 13:10:11 | 976  | 976  | 426032722.919946313 | 405657350.051520109 |
| 368762:8896 | 06/11/23 22:38:24 | 192  | 192  | 72595138.766266733  | 68118760.795185715  |
| 368764:8896 | 06/12/23 00:01:58 | 1    | 1    | 470501.617524985    | 420440.367475566    |
| 368765:8896 | 06/12/23 00:07:45 | 1386 | 1386 | 553677408.727849960 | 531150659.828725278 |
| 368822:8901 | 06/13/23 02:28:20 | 945  | 945  | 410869652.894692123 | 390824398.944728553 |
| 368823:8901 | 06/13/23 08:38:47 | 33   | 33   | 13425106.274040202  | 11884569.126288094  |
| 369927:9016 | 07/01/23 12:26:50 | 340  | 340  | 3217990.432852742   | 3170612.377532713   |
| 369943:9017 | 07/01/23 19:31:56 | 384  | 384  | 29640153.176452942  | 28981563.745412935  |
| 369956:9019 | 07/02/23 03:24:03 | 1040 | 1040 | 89404401.894527316  | 87203620.464625046  |
| 369978:9022 | 07/02/23 16:21:51 | 782  | 782  | 171272847.836872816 | 164876616.939204514 |
| 369998:9023 | 07/03/23 00:31:00 | 178  | 178  | 58593275.065035224  | 54461765.250037067  |
| 369999:9023 | 07/03/23 01:42:37 | 41   | 41   | 16107397.151283797  | 14624214.392126065  |
| 370093:9029 | 07/03/23 23:52:20 | 450  | 450  | 156682206.006145716 | 149639451.336327523 |
| 370097:9029 | 07/04/23 05:14:27 | 354  | 354  | 133483874.406248912 | 126885873.083286822 |
| 370102:9029 | 07/04/23 07:48:16 | 762  | 762  | 208313027.279814035 | 200884204.697217792 |
| 370129:9031 | 07/04/23 16:57:20 | 510  | 510  | 211389498.445196688 | 202286399.887363046 |
| 370144:9031 | 07/04/23 21:36:04 | 1328 | 1328 | 398763625.356214166 | 384440086.331475914 |
| 370169:9035 | 07/05/23 11:04:39 | 1321 | 1321 | 528046622.855660737 | 502088436.312108099 |
| 370172:9035 | 07/05/23 21:11:03 | 290  | 290  | 75882004.851355299  | 73038752.165908888  |
| 370175:9036 | 07/06/23 01:38:21 | 1689 | 1689 | 704789323.956012845 | 672617083.165916920 |
| 370293:9043 | 07/07/23 11:09:51 | 1576 | 1576 | 671182350.313888669 | 640253389.612441301 |
| 370294:9043 | 07/07/23 21:26:41 | 668  | 668  | 179110582.259104997 | 172616801.997352242 |
| 370300:9044 | 07/08/23 04:08:21 | 960  | 960  | 436237061.868635297 | 415891662.688518643 |
| 370304:9044 | 07/08/23 10:50:37 | 325  | 325  | 123670929.063046411 | 118428208.786173493 |
