#Data tag : 23v1 , Norm tag: onlineresult
+-------------+-------------------+------+------+---------------------+---------------------+
| run:fill    | time              | nls  | ncms | delivered(/ub)      | recorded(/ub)       |
| 368548:8880 | 06/06/23 13:02:11 | 1051 | 1051 | 249808533.651677758 | 240519874.595133126 |
| 368565:8882 | 06/06/23 22:21:44 | 30   | 30   | 1456649.973397279   | 1147641.143651002   |
| 368566:8882 | 06/06/23 22:37:56 | 1195 | 1195 | 499233464.075611889 | 471112732.320836782 |
| 368567:8882 | 06/07/23 06:24:21 | 440  | 440  | 130979311.269447476 | 125235808.316377312 |
| 368609:8885 | 06/08/23 00:13:15 | 1061 | 1061 | 428916293.726806164 | 409258461.260937929 |
| 368611:8885 | 06/08/23 07:09:42 | 410  | 410  | 129600857.328157470 | 124488086.513725758 |
| 368612:8885 | 06/08/23 09:50:54 | 7    | 7    | 1968787.220636528   | 1757696.367645588   |
| 368613:8885 | 06/08/23 09:55:55 | 268  | 268  | 70205222.940613851  | 67605699.970462665  |
| 368636:8887 | 06/08/23 21:24:44 | 789  | 789  | 329338104.762613952 | 314392053.715410054 |
| 368669:8891 | 06/09/23 12:54:44 | 410  | 410  | 166023371.681344211 | 157505609.522983015 |
| 368670:8891 | 06/09/23 15:36:19 | 260  | 260  | 120608756.697368145 | 112801666.041456372 |
| 368671:8891 | 06/09/23 17:38:43 | 1    | 1    | 445363.156836359    | 10199.192201176     |
| 368672:8891 | 06/09/23 17:40:15 | 932  | 932  | 317002489.925561786 | 303994520.841976404 |
| 368673:8891 | 06/09/23 23:44:02 | 11   | 11   | 2855660.647159030   | 2476428.247367219   |
| 368674:8891 | 06/10/23 00:29:40 | 11   | 11   | 2717570.377665318   | 2339209.463003929   |
| 368675:8891 | 06/10/23 00:36:10 | 50   | 50   | 12082467.348770406  | 10842275.984993048  |
| 368676:8891 | 06/10/23 00:58:18 | 155  | 155  | 35625235.803121448  | 34363436.582629845  |
| 368678:8891 | 06/10/23 02:02:09 | 174  | 174  | 37037272.829126865  | 35672309.772172585  |
| 368684:8894 | 06/10/23 07:08:02 | 109  | 109  | 29549809.584999409  | 27021856.581277389  |
